,Abstract,Address,Address All,Application Date,Application Number,Classification (IPC),Field Of Invention,Publication Type,Status,Title
0,"Abstract:  The present invention relates to a solar reverse thermoelectric power generation system. The present invention relates to a thermoelectric reverse power generation using nanofluids based Thermal Energy Storage (TES) system for solar application. More particular this invention relates to develop an efficient Maximum Power Point Tracking (MPPT) controller for distributed power in thermoelectric generators. The solar reverse thermoelectric power generation system [200] comprises of a thermoelectric reverse power generation apparatus [100], a thermosyphon based passive cooling unit [12], a maximum power point tracking [MPPT] controller [29] and one or more dc-dc converters [30]. Furthermore, particular this invention relates to identify suitable nanofluids concentrations for electrical load demands. Figure 4.","Associate Professor, Department of Mechanical Engineering, National Institute of Technology Tiruchirappalli, Tiruchirappalli - 620 015.","Associate Professor, Department of Mechanical Engineering, National Institute of Technology Tiruchirappalli, Tiruchirappalli - 620 015. | Research Scholar, Department of Mechanical Engineering, National Institute of Technology Tiruchirappalli, Tiruchirappalli-620 015. | 34-1, Vinayagar Kovil Street, R S Nagar, Kauvandampalayam, Coimbatore-641030",29/05/2019,201941021210,F28D15/00,ELECTRICAL,INA,Published,SOLAR REVERSE THERMOELECTRIC POWER GENERATION SYSTEM AND METHOD THEREOF
1,"Abstract:  The present invention is related to a micro processing unit for real time for solar tracking system based on the intensity of the sunlight. The present invention discloses a low cost and high precision real-time micro processing unit based solar tracking system. The micro processing unit for solar tracking system comprises plurality of photoelectric sensor , a micro processing unit, mechanical means to control the solar panel . The micro processing unit is used for controlling the position of the solar panel according to the intersity of the sun light based on the light intensity according to the outcomes from the photoelectrical sensors .","Assistant Professor Electrical Engineering Department Poornima Institute of Engineering & Technology, Jaipur, India","Assistant Professor Electrical Engineering Department Poornima Institute of Engineering & Technology, Jaipur, India | Department of Electronics and Communication Engineering Professor Poornima College of Engineering, Jaipur, India | Department of Electrical Engineering Poornima University, Jaipur, India | Department of Electronics and Communication Engineering, Assistant Professor, Institute of Engineering and Technology, Dr. Bhimrao Ambedkar University, Agra, India | Assistant Professor Electrical Engineering Department Jaipur National University , Jaipur, India | Assistant Professor P.R.Pote College of Engineering and Management, Amravati, India | Assistant professor Electrical Engineering Department Jaipur National University, Jaipur, India | Assistant Professor Electronics & Communication Department Poornima Institute of Engineering & Technology, Jaipur, India | Associate Professor Electrical Engineering Department B. I. T. Sindri Dhanbad, Jharkhand, India",24/05/2019,201911020615,G01S19/14,PHYSICS,INA,Published,MICROPROCESSING UNIT BASED SYSTEM FOR TRACKING AND CONTROLLING SOLAR PANEL BASED ON SUN LIGHT INTENSITY
2,"Abstract:  The present invention named as “Many concave depressions with polygon outlined openings on absorber’s surface for enhancing solar energy absorption” is a solar energy absorber, which is able to absorb most of thermal energy of sunlight incident on it, because every one ray of incident sunlight gets reflected for more than once on surface of said solar energy absorber. This invention relates to Physical Sciences. The device comprises of following components. 1)	“A solar thermal energy absorber” having plurality of closely packed equilateral polygon outlined deep depressions on its surface such that sun light incident on it gets reflected more than once on surface of the solar energy absorber so as to enable the absorber to absorb most of the energy of the entire incident sunlight. 2)	“Detachable” transparent thermal insulated container ‘made of a skeleton of a frame fitted with highly transparent sheets’ for housing the solar thermal energy absorber in thermal insulated manner from surroundings. 3)	“Detachable” means connected to said solar energy absorber for transmission of the absorbed thermal energy to the thermal energy storage or utilisation devices”. 4)	“Detachable framed structure” provided to hold and support all components of the device rigidly in predefined manner at predefined locations. In this device “the solar energy absorber’s surface having plurality of closely packed equilateral polygon outlined deep depressions throughout its upward facing surface” reflects every ray of sunlight incident on surface of absorber itself for more than once (irrespective of angle of incidence of sunlight, and also irrespective of direction of incidence of sunlight), thereby enabling the absorber absorb most of the energy from entire incident sunlight including diffuse radiation.","House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, PIN Code: (506001)","House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, PIN Code: (506001)",23/05/2019,201941020550,F03G6/00,ELECTRICAL,INA,Published,“MANY CONCAVE DEPRESSIONS WITH POLYGON OUTLINED OPENINGS ON ABSORBER’S SURFACE FOR ENHANCING SOLAR ENERGY ABSORPTION”.
3,"Abstract:  A lighter than air airship (1) comprising a gas-filled flexible hull (2) which is elongate with a longitudinal axis (1"") and with a front end (4) and a rear end (5) wherein a harness-structure (3) is abutting an outer side of the hull (2) and not perturbing the hull and not extending through the hull the harness-structure (3) is made of a bendable material and carries a propeller engine (10) for forward thrust of the airship (1) rechargeable batteries (11) for providing electrical power to the propeller engine (10) and a solar panel for providing electrical power to recharge the batteries (11).","240 Park Avenue South, New York , NY 10003","240 Park Avenue South, New York , NY 10003 | Rolfsgade 20, DK-8260 Viby J., | Skolevangsvej 116, 8450 Hammel",21/05/2019,201947020116,B64B1/14,MECHANICAL ENGINEERING,INA,Published,AIRSHIP CONSTRUCTION AND METHOD WHERE A HARNESS-STRUCTURE IS FASTENED AROUND A HULL.
4,"Abstract:  ABSTRACT OF THE INVENTION The present invention named as “Specific cross sectioned corrugated sheet in thermal insulated transparent container for absorbing maximum solar energy” relates to solar energy absorber, more particularly, to a solar energy absorbing sheet fabricated such that most of the sunlight incident on its surface gets reflected for more than once (irrespective of angle of incidence of sunlight), thereby enabling the absorber absorb most of the energy from entire incident direct solar radiation along with diffuse radiation. The present invention relates to Physical sciences. The most preferred embodiment comprises of following components. a)	“A corrugated sheet having plurality of concave cross sectioned corrugations jointed to have line like joints at top ends (along the side exposed to sunlight)” used as a solar thermal energy absorber, b)	“Detachable” thermally insulated container covered with highly transparent sheets for housing the solar thermal energy absorber. c)	“Detachable” means connected to said absorber for transmission of the absorbed thermal energy to the thermal energy storage or utilisation devices”. d)	“Detachable framed structure” provided to hold and support said all components of the device rigidly in predefined manner at predefined locations. The concept of the invention is that, among the entire energy of incident sunlight, part of the energy of sunlight incident on each corrugation is absorbed by the material of the absorber and remaining energy still in the form of sunlight gets reflected on surface of the corrugation (having compound concave cylindrical surface) for more than once. At each point of incidence of sunlight on the absorber “part of the sunlight is absorbed by the material of the absorber”, and remaining energy still in the form of sunlight gets reflected on inner surface of the corrugation for more than once enabling the absorber to absorb most of the thermal energy from incident sunlight, causing heating of the absorber. The absorber is “not” provided with mirror polish finishing.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",17/05/2019,201941019490,F24S20/30,ELECTRICAL,INA,Published,“SPECIFIC CROSS SECTIONED CORRUGATED SHEET IN THERMAL INSULATED TRANSPARENT CONTAINER FOR ABSORBING MAXIMUM SOLAR ENERGY”
5,"Abstract:  The present invention relates to the field of improved electron transport layer for an electronic and optoelectronic device. Particularly, the invention provides an electron transport layer for organic solar cell. The electron transport layer is based on zinc oxide (ZnO) doped with [6,6]-phenyl-C6i-butyric acid methyl ester to form a nanocomposite layer.","National Centre for Flexible Electronics, Indian Institute of Technology Kanpur, Kanpur, Uttar Pradesh, India - 208016","National Centre for Flexible Electronics, Indian Institute of Technology Kanpur, Kanpur, Uttar Pradesh, India - 208016 | Department of Electrical Engineering and Samtel Centre for Display Technologies, Indian Institute of Technology Kanpur, Kanpur, Uttar Pradesh, India - 208016",14/05/2019,201911019219,H01L51/4233,ELECTRONICS,INA,Published,ELECTRON TRANSPORT LAYER BASED ON DOPED ZNO LAYER AND METHOD THEREOF
6,Abstract:  The present invention is a solar cell that is provided with a semiconductor substrate having a first conductivity type and a first main surface of the semiconductor substrate is provided with: an emitter region having a second conductivity type that is the conductivity type opposite to the first conductivity type; an emitter electrode in contact with the emitter region; a base region having the first conductivity type; a base electrode in contact with the base region; and an insulating film that eliminates electrical short-circuiting between the emitter region and the base region. The solar cell is characterized in that: the insulating film is formed of polyimide; and the insulating film has a C6H11O2 detection count number of 100 or less when the insulating film is irradiated with Bi5++ ions at an acceleration voltage of 30 kV and 0.2 pA by the TOF-SIMS method. Consequently a solar cell having excellent resistance to weather and high photoelectric conversion characteristics is provided.,"c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195","c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195 | c/o Advanced Functional Materials Research Center, SHIN-ETSU CHEMICAL CO.,LTD., 13-1, Isobe 2-chome, Annaka-shi, Gunma 379-0195",14/05/2019,201947019165,H01L31/0216H01L31/068,ELECTRICAL,INA,Published,HIGH EFFICIENCY SOLAR CELL AND METHOD FOR MANUFACTURING HIGH EFFICIENCY SOLAR CELL
7,"Abstract:  The present invention named as “Cylindrical solar thermal energy absorber provided with longitudinally corrugated surface all around its outer periphery” relates a solar energy absorber capable of receiving sunlight from 360 degrees angle of incidence all around said solar energy absorber (in concave spherical sunlight reflectors). The present invention relates to Physical sciences. The most preferred embodiment comprises of following components. 1)	A solar thermal energy absorber consisting of “corrugated sheets fixed around a cylindrical frame so as to form a corrugated cylindrical absorber”, and said absorber is fitted with circular or square outlined end caps or flat plates to make the corrugated absorber as an air-tight container. 2)	“Detachable” means for circulation of absorbed thermal energy to the thermal energy storage or utilisation devices. 3)	“Detachable” thermal insulation covering in the form of ‘a transparent thermally insulated container’ made of one or two layers of highly transparent material for holding and housing said solar thermal energy absorber for thermal insulation from surroundings. “Due to multiple reflections of sunlight on corrugated surface of solar energy absorber” said solar energy absorber will be capable of absorbing most of the energy of sunlight incident on it. Said solar energy absorber is housed in thermal insulation container made of transparent glass or any other suitable highly transparent material. Said solar energy absorber is provided with all necessary connections for transmission (or circulation) of absorbed thermal energy to the thermal energy storage or utilisation devices.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",11/05/2019,201941018861,F24S60/00,ELECTRICAL,INA,Published,“CYLINDRICAL SOLAR THERMAL ENERGY ABSORBER PROVIDED WITH LONGITUDINALLY CORRUGATED SURFACE ALL AROUND ITS OUTER PERIPHERY”
8,"Abstract:  ABSTRACT OF THE INVENTION The solar thermal energy collection device named as “Solar energy collector consisting of plurality of sets of ‘two concave cylindrical reflectors, and absorber’” is useful for collecting solar thermal energy at temperatures above 100 degree centigrade, throughout period of incidence of useful sunlight. It is useful for steam generation and also suitable for heating thermic fluid up to and above 100 degrees and more temperature. This invention relates to Physical Sciences. This device consists of following components. 1)	“A big framed structure or any other suitable means” capable of holding and supporting said “plurality of sets of sunlight reflectors and solar energy absorbers” on its top side, such that said all reflectors and absorbers are capable of collectively intercepting most of the incident sunlight and also capable of absorbing most of the energy of the entire incident sunlight throughout day without necessity of any adjustment. 2)	“Plurality of sets of sunlight reflectors and solar energy absorbers” mounted on top side of said “big framed structure” for intercepting and absorbing most of the energy of the entire incident sunlight. Among said “plurality of sets of sunlight reflectors and solar energy absorbers” said each one set consists of “two concave cylindrical sunlight reflectors, and a solar energy absorber”, and said two reflectors are placed along two faces of said solar energy absorber to intercept and reflect most of the incident sunlight towards said solar energy absorber. 3) “Detachable manifold” holding and supporting ‘inlet header pipe, and outlet header pipe’ in thermal insulated covering. Said inlet header pipes and outlet header pipes are connected to inlets and outlets of said solar energy absorbers. In case of providing only one opening at outer end of solar energy absorber, then only one header pipe is provided which serves ‘as an inlet, and also as an outlet’. 4)	“Detachable transparent top covering” provided to cover top surface of said device to prevent accumulation of dust on said “plurality of sets of concave cylindrical sectioned sunlight reflectors, and solar energy absorbers”. 5)	A “detachable” tank mounted on a stand at suitable elevation (adjacent to said solar energy absorbing device) for storage of ‘water, or thermal fluid’ and also for continuous supply of ‘water, or thermic fluid’ through thermal insulated pipe conduits to inlet header pipes of solar energy absorbing means to avoid development of high temperature in said solar energy absorbing means” (by ensuring continuous supply of ‘water or thermic fluid’ used for circulation of thermal energy). Among said “plurality of sets of sunlight reflectors and solar energy absorbers” said each one set consists of “two concave cylindrical sunlight reflectors, and an absorber”. Said two concave cylindrical sectioned sunlight reflectors are placed symmetrically on either side of vertical axis of said solar energy absorber to reflect most of the incident sunlight towards ‘the solar energy absorber’s faces adjacent to them’, subjected to the condition of orientation of the device such that said all ‘reflectors and absorbers’ are capable of receiving and intercepting most of the incident sunlight throughout period of incidence of sunlight. In case of small size devices (having length less than 6 meters), it is preferred to provide wheels at their bases, so as to allow orientation of said device towards the Sun, either once in a day or at least once in a week, to orient said plurality of reflectors and absorbers to intercept more sunlight so as to get more output from said device.","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)","V. RAJESHWARA PRASAD, House No: 2-4-118, Ramnagar street, Hanamkonda Town, Warangal (Urban) District, Telangana State, INDIA PIN Code: (506001)",06/05/2019,201941018127,H01L31/00,ELECTRICAL,INA,Published,"SOLAR ENERGY COLLECTOR CONSISTING OF PLURALITY OF SETS OF ‘TWO CONCAVE CYLINDRICAL REFLECTORS, AND ABSORBER’"
9,"Abstract:  The proposed Smart Solar Power Management (SSPM) System using IoT integrates real time monitoring of data and control the system with precision. SSMP System is capable to manage the state of a Solar Power System through an loT-based network in order to control the system located remotely. The data from the Solar Power System is transmitted through the existing Internet. An ESP8266 Node MCU module is employed to send data to the cloud server using MQTT (Message Queuing Telemetry Transport) Protocol. The three major functionalities of the proposed system are: Real time solar power system monitoring and controlling; solar home power system engineering database collection and management; system fault analysis and recovery. The proposed SSPM System overcomes the overheads faced in field maintenance, system troubleshooting and provides mean time to repair in existing Solar Home Power Systems.","DEPARTMENT OF CSE, ANNA UNIVERSITY REGIONAL CAMPUS, MARUTHAMALAI MAIN ROAD, COIMBATORE, TAMIL NADU, INDIA, PIN CODE - 641 046.","DEPARTMENT OF CSE, ANNA UNIVERSITY REGIONAL CAMPUS, MARUTHAMALAI MAIN ROAD, COIMBATORE, TAMIL NADU, INDIA, PIN CODE - 641 046. | DEPARTMENT OF CSE, ANNA UNIVERSITY REGIONAL CAMPUS, MARUTHAMALAI MAIN ROAD, COIMBATORE, TAMIL NADU, INDIA, PIN CODE - 641 046. | QUANTS IS & CS LLP, 201, VANJIAMMAN BUILDING, IST FLOOR (PART), ESSO BANK STOP, COIMBATORE, TAMILNADU, INDIA, PIN CODE-641 035. | SS SYSTEMS SITE NO.4, SF NO.20, SAKTHI NAGAR, PADMAVATHI LAYOUT, CHINNAVEDAMPATTY, COIMBATORE, TAMILNADU, INDIA, PIN CODE-641049. | SS SYSTEMS, SITE NO.4, SF NO.20, SAKTHI NAGAR, PADMAVATHI LAYOUT, CHINNAVEDAMPATTY, COIMBATORE, TAMILNADU, INDIA, PIN CODE-641049. | SS SYSTEMS, SITE NO.4, SF NO.20, SAKTHI NAGAR, PADMAVATHI LAYOUT, CHINNAVEDAMPATTY, COIMBATORE, TAMILNADU, INDIA, PIN CODE-641049.",06/05/2019,201941017933,G01M3/00,COMPUTER SCIENCE,INA,Published,DESIGN AND IMPLEMENTATION OF SMART SOLAR ENERGY MANAGEMENT SYSTEM USING INTERNET-OF-THINGS
